DEBUG: Floor at (818,672) Area=62 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (901,685) Area=9174 | Ratio=0.09 | Coh=0.46 | Solid=False
DEBUG: Floor at (819,646) Area=66 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (499,623) Area=60 | Ratio=0.00 | Coh=1.00 | Solid=False
DEBUG: Floor at (547,621) Area=62 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (791,611) Area=117 | Ratio=0.00 | Coh=1.00 | Solid=False
DEBUG: Floor at (981,589) Area=88 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (558,581) Area=6072 | Ratio=0.25 | Coh=0.29 | Solid=False
DEBUG: Floor at (581,515) Area=722 | Ratio=0.00 | Coh=0.33 | Solid=False
DEBUG: Floor at (935,521) Area=6410 | Ratio=0.64 | Coh=0.32 | Solid=False
DEBUG: Floor at (771,523) Area=4668 | Ratio=0.82 | Coh=0.66 | Solid=False
DEBUG: Floor at (570,488) Area=135 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (607,460) Area=52 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (829,422) Area=10464 | Ratio=0.87 | Coh=0.87 | Solid=False
DEBUG: Floor at (504,394) Area=274 | Ratio=0.00 | Coh=1.00 | Solid=False
DEBUG: Floor at (514,364) Area=304 | Ratio=0.00 | Coh=1.00 | Solid=False
DEBUG: Floor at (635,358) Area=413 | Ratio=0.00 | Coh=1.00 | Solid=False
DEBUG: Floor at (939,406) Area=14124 | Ratio=0.91 | Coh=0.86 | Solid=False
DEBUG: Floor at (1085,439) Area=14348 | Ratio=0.74 | Coh=0.55 | Solid=False
DEBUG: Floor at (732,377) Area=9192 | Ratio=0.12 | Coh=0.31 | Solid=False
DEBUG: Floor at (783,298) Area=72 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (635,297) Area=204 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (651,278) Area=65 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (713,299) Area=5404 | Ratio=0.12 | Coh=0.33 | Solid=False
DEBUG: Floor at (577,333) Area=20308 | Ratio=0.10 | Coh=0.29 | Solid=False
DEBUG: Floor at (771,224) Area=58 | Ratio=0.00 | Coh=1.00 | Solid=False
DEBUG: Floor at (544,207) Area=51 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (747,206) Area=58 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (708,201) Area=404 | Ratio=0.00 | Coh=1.00 | Solid=False
DEBUG: Floor at (661,203) Area=195 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (574,199) Area=78 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (475,209) Area=50 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (607,195) Area=166 | Ratio=0.00 | Coh=1.00 | Solid=False
DEBUG: Floor at (506,194) Area=221 | Ratio=0.00 | Coh=1.00 | Solid=False
DEBUG: Floor at (696,168) Area=64 | Ratio=0.00 | Coh=0.00 | Solid=True
DEBUG: Floor at (505,118) Area=2244 | Ratio=0.13 | Coh=0.40 | Solid=False
